	AMZ01	AMZ02	AMZ03	AMZ04	AMZ06	AMZ07	AMZ08	AMZ09	AMZ10	AMZ11	AMZ12	AMZ13	AMZ14	AMZ15	AMZ16	AMZ17	AMZ18	AMZ19	AMZ20
cg00151234	0.03741094	0.39721431	0.044843071	0.4024463	0.050975314	0.042974329	0.054641067	0.353247937	0.418941566	0.447972392	0.061786565	0.052333463	0.45032681	0.388459678	0.049286498	0.043470984	0.041284864	0.369900679	0.434152029
cg00151744	0.494308606	0.836887178	0.474846421	0.920775078	0.516929136	0.613056071	0.430442865	0.597273785	0.833367323	0.882108082	0.661576442	0.654769429	0.882001851	0.871175328	0.504284751	0.51976765	0.513365246	0.884593715	0.8219869
cg00157199	0.189100738	0.573550754	0.15324095	0.741426888	0.403261601	0.583601386	0.909731835	0.911593334	0.711967821	0.546308353	0.173006253	0.39619986	0.668507721	0.155875246	0.104339336	0.135773345	0.088047898	0.406093905	0.441248024
cg00161838	0.488272139	0.891734488	0.87474708	0.890487527	0.882009606	0.907469612	0.901456867	0.906023625	0.020017253	0.496262708	0.906996286	0.501662149	0.920287985	0.528647912	0.494882089	0.918223902	0.696996576	0.899389682	0.915618106
cg00167628	0.844901627	0.462649788	0.483295376	0.805982746	0.750423118	0.812556159	0.723223372	0.794547574	0.838886082	0.858760894	0.522461645	0.816122209	0.844797377	0.490648096	0.863141719	0.835238753	0.061934284	0.056434932	0.830346789
cg00179446	0.042443283	0.487242291	0.052141229	0.441596168	0.043150083	0.044376065	0.046360577	0.447560424	0.481471942	0.403392666	0.045372174	0.063371766	0.544648951	0.437004406	0.036010388	0.045854741	0.045907004	0.397317009	0.463019972
cg00185248	0.065269783	0.324224742	0.04513097	0.30513509	0.05198761	0.048320623	0.044724935	0.321938645	0.404145042	0.409466985	0.048946045	0.041158408	0.430934974	0.386612257	0.041168982	0.049093345	0.058143241	0.3333788	0.389456664
cg00187672	0.719354928	0.406586193	0.601992743	0.459245014	0.695174425	0.638277052	0.62547608	0.394676512	0.389280894	0.32562407	0.74416414	0.677080252	0.454294882	0.464710883	0.540055346	0.693794732	0.167716419	0.449547034	0.435881753
cg00191758	0.067273376	0.466258338	0.08562861	0.484909315	0.068083077	0.081946161	0.056363591	0.411083345	0.442966758	0.507119861	0.095307925	0.113755017	0.510982935	0.49366385	0.087304837	0.104727614	0.093231891	0.494554517	0.501622504
cg00192980	0.040802565	0.544729526	0.034179746	0.507068147	0.036003792	0.037067554	0.036604671	0.414216825	0.484714373	0.549276634	0.027812514	0.049170225	0.573775722	0.517261041	0.033198464	0.040342656	0.036480753	0.52652819	0.537784835
cg00200463	0.023178656	0.532189118	0.041100696	0.539870408	0.024172359	0.033918346	0.05067139	0.524364351	0.530845691	0.47488116	0.021400242	0.026149068	0.597091536	0.535055737	0.040216709	0.071297776	0.029971101	0.497058801	0.558244179
cg00212031	0.016098562	0.505738055	0.015062236	0.491344146	0.014905777	0.044311947	0.029334677	0.038949884	0.51918877	0.543025177	0.022418368	0.012315507	0.471070275	0.450091146	0.018630148	0.015698921	0.034200769	0.467119301	0.464662247
cg00213748	0.762434112	0.489564436	0.745263919	0.484968446	0.826843795	0.783472481	0.822277134	0.625796246	0.510375857	0.486344944	0.85009225	0.841828112	0.501860781	0.515993214	0.81528957	0.844221066	0.834671143	0.490385701	0.49078979
cg00213853	0.035733016	0.384170892	0.054136019	0.373094564	0.043322157	0.065230205	0.056858314	0.321695594	0.403390732	0.427620528	0.041972011	0.047106371	0.474400186	0.419467278	0.042043236	0.04661736	0.036994711	0.414887899	0.451232684
cg00214611	0.051593682	0.513378478	0.056258095	0.499022568	0.046192	0.053818731	0.050364286	0.084416215	0.521655829	0.502273939	0.040705867	0.038909534	0.500236589	0.514563206	0.043890796	0.049799133	0.039866613	0.497250654	0.493208501
cg00218628	0.423147097	0.413121411	0.373823496	0.417620918	0.426024664	0.716930837	0.394740025	0.566078859	0.688641712	0.019919421	0.393227322	0.409838547	0.025980728	0.02903233	0.410172795	0.660386108	0.023373782	0.443418312	0.694723584
cg00227584	0.081513404	0.390080863	0.0799788	0.39834413	0.064663995	0.073087519	0.075506039	0.37768862	0.411815227	0.464627988	0.062497068	0.090748812	0.442406983	0.435406856	0.068287309	0.082287472	0.06574437	0.43579246	0.463116404
cg00230370	0.030898851	0.446346179	0.034161118	0.423026911	0.033909653	0.028392223	0.039140498	0.377573023	0.48310393	0.488253166	0.023474368	0.028868664	0.507567083	0.484963928	0.030520652	0.036359985	0.031892209	0.445322541	0.481740366
cg00230685	0.0342042	0.414374706	0.038165597	0.369564361	0.041096348	0.056190019	0.043906755	0.346044893	0.3580911	0.379805011	0.023550631	0.041320902	0.472853428	0.40020521	0.03649393	0.04225659	0.027825871	0.407298136	0.386761854
cg00240113	0.032372922	0.475968735	0.057253542	0.467835225	0.067386728	0.100052297	0.192974698	0.432473071	0.442735371	0.467926487	0.061910653	0.033950314	0.456092739	0.417527097	0.086933433	0.078891688	0.034215219	0.434545476	0.38169173
cg00243527	0.42216157	0.043489945	0.438025914	0.461556084	0.782302588	0.693984494	0.03934268	0.477926716	0.424906229	0.048447023	0.463465043	0.436531024	0.431602669	0.798000169	0.46696584	0.434583337	0.467601014	0.060529716	0.04073517
cg00245012	0.03183387	0.451654301	0.041979169	0.390200753	0.036779354	0.045547245	0.039607197	0.343451031	0.371904361	0.428841323	0.04726718	0.044018863	0.512198722	0.379610822	0.036689947	0.041606274	0.045377795	0.313621734	0.479279964
cg00247094	0.041653257	0.043690376	0.519897252	0.038102679	0.520597781	0.507107204	0.897939802	0.901747101	0.898907927	0.518611412	0.904948339	0.905826445	0.90923594	0.068357696	0.509184832	0.895871045	0.528248071	0.511280826	0.506585484
cg00253811	0.035501789	0.307270849	0.045770849	0.314609979	0.042131343	0.042663464	0.046836929	0.250977731	0.339108028	0.435151433	0.052272013	0.039350767	0.410166687	0.39715532	0.038050956	0.052877047	0.0458824	0.393885672	0.347987804
cg00254095	0.052407915	0.879896336	0.55620486	0.567182772	0.050782501	0.066498256	0.778346309	0.852157035	0.851674556	0.55641277	0.472344061	0.884820474	0.89798197	0.864642779	0.501259572	0.529683615	0.544734987	0.521768636	0.048186658
cg00256329	0.306154489	0.890157921	0.88766264	0.864256381	0.855487606	0.297135607	0.326814084	0.341246799	0.906335981	0.288367398	0.909356747	0.924275303	0.913310029	0.390994683	0.307502299	0.913498471	0.302060072	0.911718681	0.319877315
cg00257789	0.041604624	0.844642256	0.599692113	0.458285705	0.034674242	0.032506052	0.030974378	0.528387729	0.507869147	0.499027809	0.034407646	0.553233636	0.903584291	0.866005639	0.572121972	0.035229836	0.564057412	0.481138772	0.895034246
cg00258480	0.044021622	0.434921769	0.05763542	0.427678348	0.05500663	0.062458106	0.073442848	0.203220674	0.410073092	0.343235696	0.059098807	0.054451884	0.353980576	0.367538821	0.047171203	0.05401819	0.054544234	0.42668714	0.49329198
cg00265812	0.037798895	0.512129683	0.043256115	0.48725739	0.034389819	0.041073002	0.037578111	0.452676011	0.497896996	0.509273237	0.031401838	0.049947374	0.516399167	0.530552294	0.030753661	0.046968443	0.03492419	0.475763436	0.509049336
cg00271873	0.759593361	0.326881924	0.790068819	0.327774356	0.806165957	0.736569464	0.858788811	0.879428857	0.30176525	0.295236028	0.857282262	0.832296344	0.327471824	0.301053908	0.591821966	0.786302763	0.850873119	0.365011459	0.328073496
cg00276426	0.128412566	0.403900052	0.10486587	0.435577407	0.137983348	0.141159998	0.126787945	0.412416628	0.479857001	0.401801107	0.188654435	0.188416669	0.404301672	0.458423659	0.167451576	0.164129528	0.187090088	0.552404274	0.638347334
cg00279662	0.892009586	0.637043011	0.671403791	0.649084858	0.092835587	0.113049902	0.901043795	0.642644194	0.890710788	0.661004096	0.094041533	0.892145896	0.088935418	0.674823868	0.897355118	0.648975745	0.88321776	0.081511158	0.619076168
cg00293269	0.779406251	0.756062902	0.484194261	0.024665286	0.454980746	0.024605075	0.550745491	0.517721131	0.468247813	0.768099985	0.48862376	0.768073356	0.76240398	0.802318806	0.451560706	0.783506407	0.488599519	0.523428037	0.906749926
cg00293330	0.540266578	0.315626515	0.304267961	0.882947048	0.884734826	0.309773367	0.828734604	0.858150279	0.6859572	0.896561631	0.352746826	0.811757808	0.328280652	0.763294245	0.926768013	0.329249145	0.85620109	0.810203222	0.890539497
cg00308367	0.901006363	0.29003839	0.885325035	0.306603041	0.884745199	0.881477806	0.875786922	0.918120356	0.336156541	0.300016705	0.897572629	0.89252168	0.355622	0.368183797	0.922414919	0.907842964	0.902768759	0.340496084	0.316655753
cg00321709	0.331883027	0.08911008	0.44743144	0.199389018	0.109557456	0.398403313	0.717716624	0.524478765	0.366366173	0.28106105	0.538498352	0.309168759	0.196964783	0.212593481	0.147413508	0.078541685	0.185199535	0.574522169	0.650936405
cg00322820	0.799269189	0.043771079	0.787571681	0.758546604	0.788996832	0.456374567	0.469821947	0.621114916	0.835697521	0.495627482	0.628907975	0.791965732	0.703382898	0.78925287	0.82236986	0.782103127	0.86792622	0.765892451	0.525319852
cg00324979	0.773372546	0.812372311	0.783040797	0.866223993	0.7577836	0.348540429	0.730376289	0.607927936	0.722165049	0.820530818	0.839184222	0.390465988	0.870738721	0.84829438	0.748101457	0.784463406	0.408449001	0.757042049	0.785571014
cg00325531	0.116441255	0.57996063	0.120696117	0.070867132	0.122878795	0.283749776	0.056261056	0.073603952	0.561723362	0.574943989	0.078216775	0.059864431	0.211524954	0.137932121	0.363150377	0.076351919	0.245945395	0.268044393	0.199576549
cg00328582	0.047448833	0.327969539	0.047448662	0.411002638	0.046151449	0.049704847	0.051361792	0.269899323	0.434422634	0.373324378	0.045334074	0.043409539	0.325402965	0.301708902	0.035820845	0.044219045	0.040691934	0.33023822	0.291675474
cg00333335	0.154669104	0.520259072	0.049289403	0.489366269	0.193083618	0.566293832	0.847612199	0.652146499	0.765899076	0.234852214	0.119379112	0.366716703	0.095231056	0.151151891	0.547301821	0.519771445	0.237933634	0.338646595	0.042698769
cg00337921	0.041911789	0.548932488	0.081304557	0.551011423	0.066653507	0.054191385	0.069862066	0.459613166	0.497441651	0.54816068	0.058911583	0.089363821	0.608054676	0.565727489	0.062756058	0.067323691	0.06522603	0.625314993	0.533854936
cg00343163	0.900035586	0.39734257	0.886626476	0.390512409	0.896076267	0.89695408	0.903754343	0.520140217	0.391231731	0.404270646	0.880245517	0.90114003	0.428651181	0.367305146	0.922237849	0.880443617	0.907288104	0.407417188	0.431857944
cg00345083	0.489876366	0.038078762	0.843427007	0.452196983	0.482672714	0.436186137	0.037155585	0.035809816	0.033460276	0.802366714	0.456251458	0.868204493	0.464929587	0.479985441	0.477163282	0.465048952	0.478635569	0.439910195	0.040394559
cg00366603	0.883144344	0.830119273	0.510420566	0.48930886	0.869869096	0.797715285	0.48871028	0.480119425	0.832414715	0.512198201	0.525404473	0.893265041	0.90715592	0.900002552	0.50608844	0.502652968	0.030824477	0.888665171	0.869168826
cg00373606	0.032388198	0.388469239	0.035646653	0.378681717	0.029809929	0.034846286	0.033347473	0.345121709	0.420116509	0.429527945	0.027322874	0.030514051	0.480575055	0.387021809	0.028151926	0.033175595	0.026459212	0.451620775	0.419085487
cg00380985	0.041153118	0.539248385	0.040797048	0.510365887	0.034941583	0.045783194	0.045810998	0.444232008	0.538944165	0.525332497	0.052642861	0.045046252	0.516535902	0.511674028	0.047598543	0.058142345	0.028168047	0.52356525	0.518847194
cg00391044	0.063629768	0.357048269	0.0644988	0.417245089	0.067859721	0.081990592	0.069054837	0.278297859	0.356553394	0.430394848	0.061640422	0.056964497	0.46751512	0.37957085	0.039825951	0.058473948	0.056738173	0.385031817	0.340531815
cg00399450	0.029929695	0.544171293	0.027441965	0.49206439	0.026633141	0.026928328	0.027190201	0.494164131	0.531200831	0.558943844	0.023841617	0.036137824	0.518154496	0.511527525	0.025698368	0.035538315	0.02447284	0.509068729	0.519441788
cg00409000	0.056983383	0.481658928	0.050663575	0.498219523	0.059307764	0.057769879	0.068182694	0.427613648	0.566929421	0.583301382	0.054426695	0.082844894	0.577925389	0.465431247	0.062374168	0.066033888	0.062192655	0.5202996	0.319527077
cg00409995	0.822423307	0.447735145	0.442704366	0.482494314	0.817485427	0.817205684	0.821944846	0.571969811	0.459429525	0.474568166	0.477625089	0.484118043	0.037109102	0.813345665	0.449917567	0.846855192	0.822785344	0.039819223	0.464083238
cg00413734	0.463148028	0.424308922	0.822622159	0.464677156	0.460108429	0.438823379	0.818777902	0.569115786	0.815522315	0.457463824	0.844317801	0.845022264	0.833039916	0.845120765	0.872569963	0.050643198	0.024595006	0.81522286	0.023228764
cg00421199	0.461142476	0.817899874	0.86434194	0.48468305	0.820633307	0.468517811	0.038292606	0.353692545	0.491061826	0.851333054	0.81841077	0.846624388	0.505201179	0.866975836	0.499761555	0.852947191	0.891230908	0.529464824	0.506209211
cg00424152	0.815755293	0.46517616	0.802984086	0.861370086	0.841914719	0.455162865	0.791869877	0.601694171	0.810635003	0.466873643	0.78263948	0.4602436	0.782647179	0.830122349	0.469304827	0.816685972	0.822965857	0.462147064	0.81494259
cg00426668	0.752048205	0.408026188	0.757406783	0.484420636	0.797370019	0.723635047	0.651913155	0.571949668	0.376789928	0.405287054	0.741572798	0.794313548	0.370178981	0.378306615	0.707098832	0.756674556	0.815955872	0.366564889	0.3774186
cg00428012	0.092405703	0.410311584	0.084730447	0.429746596	0.0703301	0.082836814	0.087614388	0.390270891	0.393016771	0.45165663	0.070570447	0.094196489	0.467105023	0.421315619	0.051902491	0.091439763	0.069209104	0.428677705	0.489619505
cg00433220	0.054558097	0.454441135	0.062732304	0.437029006	0.052494089	0.051803212	0.05031653	0.329775436	0.458978045	0.467847017	0.066577387	0.060234702	0.472688711	0.468107486	0.058149182	0.046834605	0.062656373	0.462827301	0.515256761
cg00436712	0.790522604	0.430046095	0.73491111	0.555641556	0.784682625	0.691140576	0.660079248	0.532296852	0.472240957	0.476906797	0.763500926	0.765533678	0.446454009	0.473060869	0.773652295	0.768972806	0.851734778	0.5304462	0.258270559
cg00438499	0.026248802	0.38247988	0.034428058	0.352224085	0.028458032	0.03315962	0.025413041	0.295524107	0.339815987	0.440837731	0.026561946	0.036073624	0.406778278	0.392188576	0.025662428	0.035565334	0.02947856	0.420302141	0.355946336
cg00439656	0.914199099	0.913219187	0.473696584	0.477164049	0.907908578	0.899486011	0.02538326	0.341555145	0.026262088	0.904788909	0.495931203	0.926700283	0.025735922	0.03347737	0.92692376	0.901113729	0.922839034	0.914621529	0.916352457
cg00443543	0.461458392	0.824075359	0.848784095	0.847141661	0.82030673	0.796608982	0.726699444	0.545733215	0.798679232	0.826752487	0.814199035	0.463992061	0.486724808	0.831820309	0.824047553	0.812878081	0.480175077	0.488494797	0.811853118
cg00446855	0.169972091	0.479290939	0.235001534	0.566996171	0.149455916	0.197011852	0.200162551	0.303491732	0.544258179	0.611570806	0.176745851	0.21735058	0.553979509	0.447284727	0.155630651	0.209651643	0.211900605	0.431082713	0.317084946
cg00456343	0.832759685	0.79128043	0.770960612	0.82066	0.764764071	0.76112583	0.795770424	0.767617096	0.765601244	0.776590895	0.803879379	0.203014724	0.714590463	0.771518191	0.847775065	0.19550998	0.837461119	0.135613787	0.142618117
cg00458505	0.040211768	0.426336024	0.038174538	0.418193082	0.036379374	0.043136864	0.039523379	0.354530441	0.44055616	0.422025975	0.032848922	0.038690753	0.432433994	0.345838686	0.032158613	0.041808421	0.035082433	0.331410096	0.417824693
cg00466309	0.026446392	0.515951402	0.017053029	0.492671039	0.019866466	0.015299598	0.017963187	0.458035859	0.516692229	0.597392706	0.020166053	0.030667253	0.594232797	0.537867049	0.014960853	0.021625594	0.012295679	0.574449001	0.573910221
cg00474373	0.884542507	0.470446041	0.488177142	0.847270392	0.859109531	0.483816091	0.452577195	0.27790862	0.471733035	0.469042714	0.024010252	0.821149413	0.496571325	0.903939329	0.910587892	0.04002402	0.437543833	0.894595823	0.901271278
cg00478198	0.111154161	0.469353444	0.103306624	0.509595224	0.110970456	0.117768556	0.105420176	0.46631926	0.479236851	0.517297161	0.076664509	0.115038421	0.522172407	0.4838696	0.063211866	0.130142249	0.082320719	0.522017708	0.507371156
cg00488012	0.909092698	0.892312958	0.298007376	0.892665527	0.90058016	0.891588079	0.889407886	0.864668345	0.301334013	0.90148005	0.890762411	0.892322869	0.903913445	0.91224912	0.895568942	0.883880522	0.370260729	0.891697551	0.888781038
cg00489183	0.878589105	0.42367639	0.748653909	0.781574954	0.432308436	0.694851099	0.561392438	0.638634224	0.785412084	0.775315578	0.833410394	0.823547145	0.795080478	0.764511129	0.674863527	0.800821307	0.854235935	0.03049987	0.82852385
cg00504583	0.147920826	0.526288487	0.144870711	0.465065086	0.147343117	0.107516347	0.192088581	0.412039534	0.532366676	0.507375137	0.24658158	0.098196689	0.532688361	0.456472628	0.147172962	0.128676863	0.28611869	0.441065729	0.610626055
cg00532122	0.683000964	0.056154692	0.684239602	0.057578077	0.041351544	0.061376377	0.047196283	0.690864589	0.92370903	0.696768583	0.061905648	0.066749472	0.050982595	0.6904715	0.673242219	0.689155931	0.062250656	0.677310064	0.64998771
cg00540941	0.422830031	0.027861629	0.354092229	0.629529561	0.630447886	0.606127372	0.33270305	0.519228547	0.605081163	0.433546005	0.6481487	0.388867879	0.680687888	0.684780655	0.394529396	0.680612842	0.354581737	0.660815152	0.599255021
cg00543493	0.652570486	0.307942897	0.700549937	0.281728226	0.708621667	0.69122224	0.731249353	0.732975504	0.287050711	0.281310479	0.707787885	0.718069286	0.328761451	0.883041074	0.717139436	0.688858291	0.728346873	0.896292353	0.333387423
cg00545199	0.895368073	0.905968668	0.889168983	0.88271712	0.68435628	0.847009866	0.900174393	0.799714432	0.693593457	0.899807838	0.61359446	0.647131945	0.130351811	0.903743802	0.898428431	0.898832252	0.902253835	0.661691438	0.615299656
cg00546757	0.049269464	0.588513471	0.910661337	0.899545471	0.901060204	0.894239043	0.57742976	0.557849817	0.560754046	0.580359421	0.898680831	0.913404732	0.918950928	0.503576732	0.917809672	0.051775592	0.631143272	0.564154934	0.908335482
cg00553601	0.910730551	0.543663048	0.901628865	0.906243647	0.916444475	0.912409741	0.914827076	0.908331058	0.639600623	0.911381076	0.922889279	0.909922286	0.640346832	0.912585942	0.053320989	0.664622619	0.911170285	0.915288046	0.912681847
cg00575851	0.044193004	0.411199004	0.045325162	0.399189849	0.035459345	0.059766427	0.045458269	0.354912906	0.408024383	0.430078772	0.038889167	0.040681232	0.451230833	0.397418491	0.040461274	0.045810847	0.041032845	0.39213898	0.375410368
cg00576139	0.895664438	0.347268578	0.887684744	0.36223912	0.873465203	0.872720742	0.889986296	0.909346307	0.36048284	0.317682527	0.900225723	0.88589625	0.384322066	0.444198136	0.903929277	0.890207143	0.889762674	0.496512589	0.389519314
cg00581583	0.03460937	0.369494769	0.032919349	0.400270357	0.034426568	0.040637473	0.040181845	0.323044647	0.342221827	0.414562668	0.037883376	0.054760648	0.426672913	0.413251299	0.029588356	0.058717151	0.030734394	0.421029787	0.415770341
cg00583618	0.018938906	0.518002518	0.016257344	0.500825803	0.017437879	0.018722324	0.019885124	0.445027362	0.532987107	0.526467668	0.023167549	0.022504815	0.518070968	0.479253458	0.018002443	0.028838686	0.020495271	0.498702884	0.502489035
cg00598125	0.455604218	0.0437377	0.366059931	0.394269966	0.045734305	0.250879536	0.042179789	0.164155519	0.039671727	0.524429656	0.172261899	0.150581981	0.405759745	0.046852611	0.562256987	0.329083064	0.589325569	0.2749899	0.127772667
cg00599377	0.874548128	0.309197098	0.851821077	0.319897592	0.858165336	0.860800381	0.865838653	0.825533601	0.323600695	0.28880844	0.857416096	0.884283062	0.365620292	0.342996683	0.868760992	0.842790612	0.862999932	0.325940641	0.312689349
cg00602930	0.929633916	0.056226263	0.516784239	0.927350121	0.515641623	0.522160149	0.063769857	0.530403672	0.921396368	0.94057792	0.568559402	0.929343634	0.907641657	0.53575234	0.561611579	0.921593721	0.059379967	0.9441579	0.912616134
cg00603890	0.049127709	0.467696509	0.057338678	0.485510988	0.048321066	0.055170822	0.055909453	0.379212863	0.515340204	0.488629281	0.082784917	0.05256303	0.559629807	0.500540998	0.044036233	0.052445753	0.067225182	0.495957928	0.475340599
